"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AQUIFEX_00032",248.422424322083,0.11468807760771,0.152546879238298,0.751821854241624,0.452158197643506,0.998912159871704
"AQUIFEX_00033",0,NA,NA,NA,NA,NA
"AQUIFEX_00034",150.554142015634,0.140384445318052,0.186421186165362,0.753049844847176,0.451419961888561,0.998912159871704
"AQUIFEX_00035",242.431067393405,0.0223008227752899,0.147271451798425,0.151426651282108,0.879639167180843,0.998912159871704
"AQUIFEX_00036",107.86006803069,0.00145936906056163,0.221910717975046,0.00657637933795402,0.994752846282444,0.998912159871704
"AQUIFEX_00037",183.271703978745,-0.0222266246467482,0.174182916948035,-0.127605077674634,0.898461512583954,0.998912159871704
"AQUIFEX_00038",0,NA,NA,NA,NA,NA
"AQUIFEX_00039",468.13439229346,-0.012360189489877,0.108572260815474,-0.113842977912047,0.909362268591959,0.998912159871704
"AQUIFEX_00040",174.779655589646,0.116914044743623,0.175184424447025,0.667376937833749,0.504531393137468,0.998912159871704
"AQUIFEX_00041",214.715843348984,0.0417830057596011,0.155506863252101,0.268689142625585,0.7881689075742,0.998912159871704
"AQUIFEX_00042",113.11329073522,0.135195480951625,0.225292861645951,0.600087725655887,0.548447772345159,0.998912159871704
"AQUIFEX_00043",157.798627467905,0.0562365247669814,0.181854061842243,0.309239860783346,0.757139074339293,0.998912159871704
"AQUIFEX_00044",83.641606229844,0.0445400846000569,0.249430033742028,0.178567448080941,0.858277356284706,0.998912159871704
"AQUIFEX_00045",124.830072386696,-0.137079380014715,0.211607501532816,-0.647800191494898,0.517114191530425,0.998912159871704
"AQUIFEX_00046",1.74809581889293,-1.32093857279943,1.55361585145665,-0.850234999572733,0.395194446635695,0.998912159871704
"AQUIFEX_00047",65.6624865173996,0.0564002359750796,0.281235764041278,0.200544323256133,0.841054897049266,0.998912159871704
"AQUIFEX_00048",0,NA,NA,NA,NA,NA
"AQUIFEX_00049",94.8785240950763,0.0621999436284076,0.238308403540633,0.261006085829458,0.794087814075659,0.998912159871704
"AQUIFEX_00050",112.353583967244,-0.0370115055884673,0.217138940752677,-0.170450797356628,0.864655626061419,0.998912159871704
"AQUIFEX_00051",171.779785361486,-0.0824907594688388,0.17444240350242,-0.472882497676056,0.636297012457002,0.998912159871704
"AQUIFEX_00052",57.174846314779,0.241517404814716,0.301425617032203,0.801250428522514,0.422986682436802,0.998912159871704
"AQUIFEX_00053",86.6356631747523,0.0930291633106521,0.246125899030804,0.377973889285862,0.705449990954325,0.998912159871704
"AQUIFEX_00054",0,NA,NA,NA,NA,NA
